filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read77_strand.fast5	3f9773f8-8ae1-473e-a3d5-04fe699cb568	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	85.703	1.6575	1132	0.237	1132	1.4205	1132	344	11.397	-0.0011	barcode02	96.33898162841797	BC02_var1	96.33898162841797	21.96666717529297	67	60	0	27	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read55_strand.fast5	488e35df-ff52-40b6-9349-08437acb2227	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	68.496	1.0335	794	0.03475	794	0.99875	794	485	12.394	-0.0007	barcode02	95.55931854248047	BC02_var2	41.46666717529297	95.55931854248047	40	48	43	58	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch187_read2_strand.fast5	49e994f2-7a48-45ca-a980-095e6fa2feb9	c84e1b3b351694f5ea8585eb5e8d11e136f15159	187	8.6865	1.0575	867	0.0	867	1.0575	867	553	10.98	-0.0009	barcode02	78.5762710571289	BC02_var1	78.5762710571289	45.70000076293945	28	61	0	42	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch188_read14_strand.fast5	4ae9088f-ac63-416a-a843-2bd57421a18d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	188	20.952	1.79825	1394	0.04225	1394	1.756	1394	888	11.859	-0.0007	barcode03	82.56666564941406	BC03_var2	82.56666564941406	64.91525268554688	30	55	16	49	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch188_read53_strand.fast5	5136e897-eb9a-4525-b5cc-424ff9f30389	c84e1b3b351694f5ea8585eb5e8d11e136f15159	188	73.03625	1.05125	705	0.14925	705	0.902	705	360	12.325	-0.001	barcode02	90.23728942871094	BC02_var2	48.13333511352539	90.23728942871094	2	49	72	60	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read29_strand.fast5	588f1325-dc1c-40b5-946c-8111b01f4c02	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	47.0205	2.91075	2199	0.1045	2199	2.80625	2199	1252	12.29	-0.0014	barcode02	95.55931854248047	BC02_var2	84.30000305175781	95.55931854248047	23	56	15	58	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read81_strand.fast5	5e2d36b8-b6c0-4610-b749-ef08051e6fed	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	89.653	1.77175	1185	0.25425	1185	1.5175	1185	634	12.251	-0.0017	unclassified	59.099998474121094	BC05_var2	59.099998474121094	48.576271057128906	25	43	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch187_read8_strand.fast5	5f5c479d-e0ad-40c2-a7bf-ef4317e8f42f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	187	17.283	1.331	1025	0.0185	1025	1.3125	1025	653	12.251	-0.0018	barcode04	80.13333129882812	BC04_var1	64.10169219970703	80.13333129882812	33	53	18	61	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch184_read3_strand.fast5	6283103c-37fa-41f8-bef0-e178ecfea7db	c84e1b3b351694f5ea8585eb5e8d11e136f15159	184	5.65075	1.2795	812	0.2575	812	1.022	812	445	14.18	-0.0007	barcode01	91.38983154296875	BC01_var1	91.38983154296875	31.200000762939453	37	58	1	46	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch187_read4_strand.fast5	6559b4da-32f2-4379-aec4-cf2baa99081e	c84e1b3b351694f5ea8585eb5e8d11e136f15159	187	11.7865	1.0815	860	0.01825	860	1.06325	860	561	10.613	-0.0025	barcode02	90.06779479980469	BC02_var2	53.33333206176758	90.06779479980469	85	51	54	60	BC	var2
